FREQUENCY DATA_CACHE_SIZE DATA_CACHE_ASSOCIATIVITY  INSTRUCTION_CACHE_SIZE  INSTRUCTION_CACHE_ASSOCIATIVITY energy_consumption  time
200 12 4 13  4 45786569  1658080
200 12 4 10  4 33120028  1709740
200 12 4 9 4 32568506  1723250
200 12 4 9 2 30869602 1723110
200 12 4 9 1 30075536 1724510
200 9 4 9 1 29771317  1732980
200 10 4 9 1 29762268  1729410
200 11 4 9 1 29796350 1724510
200 10 2 9 1  29591217  1728360
200 10 1 9 1  30464394  1777780
100 10  2 9 1 18745591  3552220
50 10  2 9 1 17772193  6573140
25 10  2 9 1  17678517 12802200
12.5  10  2 9 1 17585113 24918240
